2026-04-19 20:37:19 | INFO     | root                           | Log file: C:\Users\nak\Documents\Projet\POS-APP\logs\pos_app_20260419.log
2026-04-19 20:37:19 | INFO     | root                           | === POS Application Starting ===
2026-04-19 20:37:19 | INFO     | root                           | Python: 3.14.4 (tags/v3.14.4:23116f9, Apr  7 2026, 14:10:54) [MSC v.1944 64 bit (AMD64)]
2026-04-19 20:37:19 | INFO     | root                           | Platform: win32
2026-04-19 20:37:21 | INFO     | controllers.main_controller    | Session opened for Caissier 1 (role: caissier) - operateur_id: 53, session_id: 190
2026-04-19 20:37:21 | INFO     | core.database.product_repository | Found 0 promo products
2026-04-19 20:37:21 | INFO     | core.database.product_repository | Found 30 products near DLV within 30 days
2026-04-19 20:37:21 | INFO     | core.database.product_repository | Found 2 products with passed DLV to remove
2026-04-19 20:37:21 | DEBUG    | controllers.main_controller    | Header data refreshed: 0 transactions, 0 promo, 30 near DLV, 2 to remove
2026-04-19 20:37:21 | DEBUG    | controllers.main_controller    | Product loader thread started
2026-04-19 20:37:21 | INFO     | root                           | === Main Window Shown ===
2026-04-19 20:37:21 | DEBUG    | controllers.main_controller    | Products loaded: 418 items
2026-04-19 20:37:26 | INFO     | core.database.product_repository | Found 0 promo products
2026-04-19 20:37:26 | INFO     | core.database.product_repository | Found 30 products near DLV within 30 days
2026-04-19 20:37:26 | INFO     | core.database.product_repository | Found 2 products with passed DLV to remove
2026-04-19 20:37:26 | DEBUG    | controllers.main_controller    | Header data refreshed: 0 transactions, 0 promo, 30 near DLV, 2 to remove
2026-04-19 20:37:26 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=0, caisse=0
2026-04-19 20:37:41 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:37:43 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:37:53 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:37:56 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:38:00 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:38:03 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:38:05 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:38:24 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:38:25 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:38:36 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:38:37 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:38:47 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:38:48 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:39:12 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:39:13 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:39:26 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:39:28 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:39:47 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:39:49 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:39:50 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:39:51 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:40:03 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:40:04 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:40:11 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:40:13 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:40:21 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:40:22 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:40:30 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:40:32 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:40:40 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:40:42 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:41:09 | DEBUG    | ui.zone_panier.draft_manager   | Draft set for mode 'vente': True
2026-04-19 20:41:10 | DEBUG    | ui.zone_panier.draft_manager   | Draft cleared for mode 'vente'
2026-04-19 20:41:18 | DEBUG    | controllers.main_controller    | [DEBUG] record_sales called with 16 rows
2026-04-19 20:41:18 | DEBUG    | controllers.main_controller    | Totals for 2026-04-19: depenses=0, ventes=104 200, caisse=104 200
2026-04-19 20:41:18 | INFO     | core.database.product_repository | Found 0 promo products
2026-04-19 20:41:18 | INFO     | core.database.product_repository | Found 30 products near DLV within 30 days
